Episode 7200,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.23
Episode 7300,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.15
Episode 7400,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.10
Episode 7500,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.02
Episode 7600,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 0.82
Episode 7700,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.09
Episode 7800,  Reward: 335.53, Profit: 373.36, Distance: 42.87 Loss: 1.00
Episode 7900,  Reward: 351.68, Profit: 329.99, Distance: 38.09 Loss: 2.18
Episode 8000,  Reward: 342.93, Profit: 353.25, Distance: 40.10 Loss: 1.17
Episode 8100,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.19
Episode 8200,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 2.19
Episode 8300,  Reward: 362.34, Profit: 366.04, Distance: 33.48 Loss: 1.37
Episode 8400,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.92
Episode 8500,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.14
Episode 8600,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.73
Episode 8700,  Reward: 362.34, Profit: 366.04, Distance: 33.48 Loss: 1.65
Episode 8800,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 2.12
Episode 8900,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.01
Episode 9000,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 1.20
Episode 9100,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.83
Episode 9200,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.89
Episode 9300,  Reward: 387.51, Profit: 390.15, Distance: 32.42 Loss: 1.10
Episode 9400,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 1.07
Episode 9500,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 1.09
Episode 9600,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 0.82
Episode 9700,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 1.76
Episode 9800,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 0.75
Episode 9900,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 0.76
Episode 10000,  Reward: 327.88, Profit: 342.39, Distance: 40.32 Loss: 1.81
