ep_rets,avg_losses
-79977.52570343018,8002.247429656983
-79927.52570343018,8004.747429656983
-79927.52570343018,8005.514096323649
-69865.94783782959,7757.485814439582
-79917.52570343018,7807.638137483063
-79957.52570343018,7840.356352845382
-69915.94783782959,7721.410440837096
-69915.94783782959,7632.284209271727
-79907.52570343018,7674.124049964327
-69895.94783973694,7607.751841827559
-79927.52570343018,7644.012154398088
-69925.94783973694,7590.872311031448
-69925.94783973694,7545.875709985304
-59895.12351226807,7436.070524061297
-59895.12351226807,7340.880861987645
-59895.12351226807,7257.56762149912
-49862.782875061035,7125.402871235583
-49862.782875061035,7007.905314121653
-49862.782875061035,6902.760037445904
-49862.782875061035,6808.305968240465
-79897.52570343018,6865.510612735434
-69905.94783973694,6872.060533135554
-69855.92739868164,6878.151856024178
-69855.92739868164,6883.706225282244
-59875.08263015747,6849.010383385663
-79887.52570343018,6893.675402582071
-69895.94783973694,6898.021813723839
-69855.92739868164,6902.133585992933
-69855.92739868164,6905.95279572193
-59875.08263015747,6876.237603568119
-59822.8127822876,6848.473313366814
-59822.8127822876,6822.432330957314
-49850.33549308777,6767.737640589442
-59822.8127822876,6745.578625349241
-49779.25087738037,6696.226401645607
-49779.25087738037,6649.603497183959
-39818.0655670166,6578.566370489237
-49779.25087738037,6537.469708389708
-49779.25087738037,6498.468917493897
-39762.345235824585,6436.59743688087
-79857.52570343018,6475.051610416305
-69815.94783782959,6487.9544287098815
-69815.94783782959,6500.246384966018
-59765.12351226807,6489.35653271998
-59765.12351226807,6478.938852400386
-59765.12351226807,6468.962078131557
-49772.78287601471,6438.13744003473
-49725.95373916626,6408.650738154903
-49725.95373916626,6380.355545706848
-49725.95373916626,6353.294003235353
-79917.52570343018,6385.721623539776
-69865.94783782959,6397.761066490571
-69865.94783782959,6409.3373908612175
-59795.12351226807,6402.089446521384
-59795.12351226807,6395.0973022659255
-59795.12351226807,6388.347544776962
-49792.78287601471,6364.287893557016
-49792.78287601471,6341.051202771111
-49792.78287601471,6318.595753956819
-49792.78287601471,6296.8825710449255
-39789.99494934082,6259.486329235063
-39789.99494934082,6223.290442893235
-39789.99494934082,6188.237757475931
-39789.99494934082,6154.274676136822
-39789.99494934082,6121.350890712215
-29843.863288879395,6074.349240233492
-29769.249969482422,6028.695586510982
-29769.249969482422,5984.379115979294
-29769.249969482422,5941.341670959918
-29769.249969482422,5899.52842279673
-29769.249969482422,5858.8876389695215
-29769.249969482422,5819.370469241792
-19828.273902893066,5767.312973620835
-19813.944576263428,5716.63795173156
-19742.590560913086,5667.2851931971945
-19742.590560913086,5619.226237559487
-19742.590560913086,5572.410724220247
-19742.590560913086,5526.790883814448
-19742.590560913086,5482.321373767156
-19742.590560913086,5438.959126083397
-9802.054054260254,5384.390939044561
-19742.590560913086,5343.272077425393
-9789.923603057861,5291.148790702771
-9789.923603057861,5240.256960413215
-9802.054054260254,5190.564701169538
-9789.923603057861,5142.003262169237
-9802.054054260254,5094.5684700657
-9789.923603057861,5048.194050445629
-9802.054054260254,5002.87130671757
-9789.923603057861,4958.537714281378
-9789.923603057861,4915.174160849868
-9802.054054260254,4872.76177826778
-9789.923603057861,4831.243834833672
-9802.054054260254,4790.617498609573
143.53818893432617,4740.3726539019935
-9789.923603057861,4701.518509559043
-9802.054054260254,4663.4755631234
-9789.923603057861,4626.194085488216
-9789.923603057861,4589.663134111191
-9802.054054260254,4554.047059196854
-79867.52570343018,4588.2773773856015
-69855.94783973694,4612.037947789072
-69855.94783973694,4635.331289747613
-59865.123514175415,4648.564448669506
-59785.007303237915,4661.598902104871
-59785.007303237915,4674.382102450252
-59785.007303237915,4686.921269555469
-49802.550455093384,4689.980349430545
-49753.61947631836,4692.991362015794
-49753.61947631836,4695.943177236731
-49753.61947631836,4698.837557275736
-39773.88620185852,4692.765713353854
-49753.61947631836,4695.629066427762
-39768.887912750244,4689.6799120446385
-39754.274596214294,4683.817916791764
-39710.14936828613,4678.09042778871
-39710.14936828613,4672.457447089323
-39710.14936828613,4666.916643233227
-29742.99284362793,4653.089992339004
-39710.14936828613,4647.7966214766575
-39710.14936828613,4642.587688548883
-29725.88442325592,4629.2773338541065
-29712.118844985962,4616.169285616995
-29750.671710968018,4603.3008732390135
-29712.118844985962,4590.705349845118
-79907.52570343018,4617.8239445330555
