ep_rets,avg_losses
-79977.52570343018,8002.247429656983
-79927.52570343018,8004.697429656982
-69895.94783973694,7673.168275970205
-69895.94783973694,7507.345991620149
-59835.123514175415,7209.018144672728
-59835.123514175415,7010.086101591956
-59835.123514175415,6867.949344943221
-49862.782876968384,6636.653793578487
-49785.95374107361,6456.960711801166
-49785.95374107361,6313.172949807838
-49785.95374107361,6195.497547107882
-49785.95374107361,6097.405963192729
-39816.33667755127,5937.689152424432
-39763.44023132324,5800.7076005026765
-39763.44023132324,5681.966367161428
-39763.44023132324,5578.045235145555
-39763.44023132324,5486.328767497048
-29809.13247680664,5349.481043643624
-39763.44023132324,5279.410157811496
-29780.69563293457,5166.41425808682
-29790.131885528564,5064.207252057461
-29717.049629211426,4971.364536710094
-29717.049629211426,4886.578805548621
-29717.049629211426,4808.842917888022
-29717.049629211426,4737.310884446314
-19767.406967163086,4632.999020667885
-29717.049629211426,4573.250596799862
-29717.049629211426,4517.756539322933
-19734.744594573975,4431.655027187536
-19744.651475906372,4351.31421444459
-19734.744594573975,4276.107034060343
-19744.651475906372,4205.608071377516
-19734.744594573975,4139.336984362512
-19734.744594573975,4076.945062873693
-19767.406967163086,4018.1999848616006
-19744.651475906372,3962.64416003945
-9792.513938903809,3883.1795123268976
-19734.744594573975,3834.045591112909
-19744.651475906372,3787.446587540671
-19734.744594573975,3743.140067021202
-9767.879146575928,3676.672487759255
-9797.48697090149,3613.4312245259384
-19767.406967163086,3576.3091415309186
-19734.744594573975,3540.791276784178
-9767.879146575928,3484.6959634167097
-19744.651475906372,3452.7208694274873
-9792.513938903809,3400.9242129958275
-19744.651475906372,3372.012230992644
-9767.879146575928,3323.9120763120172
-19767.406967163086,3297.7280435162006
-9767.879146575928,3252.9567547262855
-9767.692909240723,3209.9004251642236
-9792.513938903809,3168.508862361728
-19744.651475906372,3147.0737630416597
-9767.879146575928,3108.27187457502
-9767.692909240723,3070.849147028784
-19767.406967163086,3052.276700129435
173.7526512145996,2999.9584544629975
-9767.692909240723,2966.2591608416733
-9767.879146575928,2933.6787063393517
-9797.48697090149,2902.210626953613
-9792.513938903809,2871.7449399897905
-19767.406967163086,2858.075374696472
-9767.692909240723,2829.203913474302
-9767.879146575928,2801.2165564087977
169.19128036499023,2759.0169952771303
-9767.879146575928,2732.904183190807
-9767.692909240723,2707.5551199057377
-9797.838691711426,2682.9805690062403
-9792.513938903809,2659.096458957502
-9797.48697090149,2635.8893344660573
-9767.879146575928,2613.2826477152626
-9767.692909240723,2591.292285630448
-9802.99796295166,2569.9412312159093
-9767.879146575928,2549.1095670418827
-9767.692909240723,2528.823165605756
173.7526512145996,2496.149714098303
-9767.692909240723,2477.056946427853
-19767.406967163086,2471.102883551716
-9792.513938903809,2452.826113365084
-9767.692909240723,2434.967503601628
173.7526512145996,2405.417951713887
-9797.838691711426,2388.5929420466287
-9797.48697090149,2372.1662323771766
173.7526512145996,2344.393100620104
169.19128036499023,2317.2696879391065
-9792.513938903809,2302.2182720914147
169.19128036499023,2276.1871289319724
-9802.99796295166,2261.9442984400926
173.7526512145996,2236.9305694023155
-9797.48697090149,2223.4227445343895
-9797.838691711426,2210.2075158647503
-9792.513938903809,2197.2689700702167
169.19128036499023,2174.0066025416713
169.19128036499023,2151.232820844139
173.7526512145996,2128.927714242689
-9802.99796295166,2117.3674154587966
-9797.48697090149,2106.036378568609
164.48306274414062,2084.870661318198
169.19128036499023,2064.1225116617684
173.7526512145996,2043.7797138443264
-9797.838691711426,2033.611525583726
-9797.48697090149,2023.6394294858253
-9792.513938903809,2013.8533877252412
169.19128036499023,1994.7653960003988
-9802.99796295166,1985.4449030978333
173.7526512145996,1966.973520525197
169.60314750671387,1948.848054589805
164.48306274414062,1931.0593755956625
-9797.838691711426,1922.6507052646564
169.19128036499023,1905.413409879813
173.7526512145996,1888.4793753678537
-9797.48697090149,1880.669152228989
-9802.99796295166,1873.0005585261383
164.48306274414062,1856.797256972527
169.19128036499023,1840.868709373487
173.7526512145996,1825.2080632029797
-9797.838691711426,1818.2635108535392
-9797.48697090149,1811.4350631723826
164.48306274414062,1796.4185630269383
-9797.838691711426,1789.8838693746948
169.19128036499023,1775.2860609548552
173.7526512145996,1760.9217398914545
169.60314750671387,1746.792704499908
-9802.99796295166,1740.8678876086556
164.48306274414062,1727.1259293285987
169.19128036499023,1713.5963938947066
-9797.838691711426,1708.0653308409267
173.7526512145996,1694.8893956360544
169.60314750671387,1681.9195260481433
164.48306274414062,1669.151224208279
-9802.99796295166,1664.1276882899904
-29780.69563293457,1674.200851739392
169.60314750671387,1661.771747560911
173.7526512145996,1649.523170345533
-29790.131885528564,1659.4878453853082
156.28999710083008,1647.447610042281
-29780.69563293457,1657.2756346283566
169.19128036499023,1645.4143565959253
164.48306274414062,1633.725735104702
165.97145462036133,1622.2019867946024
-29809.13247680664,1631.950056027406
169.60314750671387,1620.5966411537345
-29780.69563293457,1630.200240205864
-29790.131885528564,1639.677636340811
173.7526512145996,1628.5007082098475
-9797.838691711426,1624.2595119100606
-19838.02541732788,1626.8597960088223
169.19128036499023,1615.996295515113
164.48306274414062,1605.2805952605204
156.28999710083008,1594.712332799803
-29780.69563293457,1603.9787980235672
169.60314750671387,1593.5477661241043
-29790.131885528564,1602.7070679546796
173.7526512145996,1592.4153667273558
-9802.99796295166,1588.6512123787813
-29780.69563293457,1597.6599092731394
169.19128036499023,1587.5977358485843
-29809.13247680664,1596.5171176723427
164.48306274414062,1586.5903639794485
-19813.390621185303,1589.1961647451137
-19842.057193756104,1591.7872401706659
156.28999710083008,1582.076795228893
169.60314750671387,1572.4762128037141
