ep_rets,avg_losses
-79977.52570343018,8002.247429656983
-79927.52570343018,8004.747429656983
-79927.52570343018,8005.514096323649
-69865.94783782959,7757.365814439583
-69865.94783782959,7608.570849214493
-79917.52570343018,7675.1202969296
-69855.94783782959,7580.639977946902
-69855.94783782959,7509.742408765732
-59785.12351226807,7344.2405541513945
-59785.12351226807,7211.960911325258
-79957.52570343018,7283.941908154929
-69915.94783782959,7260.909996717233
-69915.94783782959,7241.396669328537
-59845.12351226807,7153.727375075549
-59845.12351226807,7077.728861845184
-59845.12351226807,7011.2139539416
-49852.78287601471,6893.731389274853
-49855.95373916626,6789.306930762356
-49809.50133514404,6695.992892741208
-49809.50133514404,6611.998733374914
-49809.50133514404,6535.99307167893
-49809.50133514404,6466.88650042056
-39832.08491516113,6360.398930547659
-39850.53542327881,6262.852247765681
-39793.64807033539,6172.998804009587
-39793.64807033539,6090.047471425856
-39793.64807033539,6013.231105901149
-39793.64807033539,5941.892146588829
-29827.86918926239,5841.098973754339
-29839.837752342224,5747.055941176365
-39793.64807033539,5691.1800556308
-29803.234393119812,5607.567253126037
-29761.88037776947,5529.080093542155
-29761.88037776947,5455.200826201043
-29761.88037776947,5385.534353951055
-29761.88037776947,5319.729495822203
-19796.860632896423,5230.540567349423
-19812.016913414,5146.077224922358
-29761.88037776947,5091.449513000446
-29761.88037776947,5039.545061050897
-19774.105136871338,4965.804155579344
-19774.105136871338,4895.564041976979
-19774.105136871338,4828.575421827936
-19774.105136871338,4764.619874833952
-19796.860632896423,4703.549356966153
-9811.563549041748,4623.416865767231
-9824.247611999512,4546.711068345709
-19812.016913414,4494.0025777345445
-19774.105136871338,4443.3587914515365
-19774.105136871338,4394.731980168246
-19796.860632896423,4348.049680473047
-19774.105136871338,4303.1120851614305
-9811.563549041748,4241.065761500496
-9824.247611999512,4181.335441397669
-9811.563549041748,4123.7484445265945
-19796.860632896423,4086.043471635128
-19812.016913414,4049.6825608338704
-9824.247611999512,3997.349725638004
-9811.563549041748,3946.76407467348
-9851.393599510193,3897.925742564543
-9811.563549041748,3850.617803232671
-19812.016913414,3820.9606729961038
-9824.247611999512,3776.385935429778
-19796.860632896423,3748.781543611738
131.4253273010254,3691.3629456416484
126.05720520019531,3635.6888175105605
-19796.860632896423,3611.4089859579594
-9861.70616054535,3573.2291568344754
-9811.563549041748,3536.0794981422537
-9817.074542045593,3499.9958216868326
-9811.563549041748,3464.9170255953577
-19796.860632896423,3444.677876262412
-9824.247611999512,3411.3283814732063
-19812.016913414,3392.3740608444286
-9811.563549041748,3360.587586530236
-9817.074542045593,3329.6417824716973
-9811.563549041748,3299.4898470395487
-9817.074542045593,3270.116015128894
-19812.016913414,3254.135367429208
-9824.247611999512,3226.066908289248
-9851.393599510193,3198.722912720603
131.4253273010254,3159.8690722851984
-9824.247611999512,3133.9440090034113
-9817.074542045593,3108.6256541290213
-9840.071166038513,3083.9279086831293
131.4253273010254,3048.20711301144
-9817.074542045593,3024.740704126381
131.4253273010254,2990.5001281028126
-19812.016913414,2979.4364226496514
124.79383563995361,2946.465033396878
-9824.247611999512,2925.149639958606
-9817.074542045593,2904.2885956102045
-9824.247611999512,2883.882233993711
-9840.071166038513,2863.9257650887735
-9851.393599510193,2844.3998564568833
131.4253273010254,2814.8801591269225
126.05720520019531,2785.9733961432053
-9861.70616054535,2767.847137438752
-9817.074542045593,2750.040585830346
131.4253273010254,2722.640252778193
-9817.074542045593,2705.632170054512
-9840.071166038513,2688.9793974293343
126.05720520019531,2662.9729637925025
-9817.074542045593,2647.026877110774
131.4253273010254,2621.9084911944815
124.79383563995361,2597.2699221053686
-9840.071166038513,2582.404168563533
126.05720520019531,2558.584632176854
-29803.234393119812,2562.6602619368064
124.79383563995361,2539.4531547318206
131.4253273010254,2516.6571097290816
-29803.234393119812,2520.9961645982494
-9851.393599510193,2507.601129904545
-29803.234393119812,2511.942851497414
-9861.70616054535,2498.86784523852
126.05720520019531,2477.407364096928
-19838.054369926453,2473.37754690067
-29827.86918926239,2477.881616983907
124.79383563995361,2457.138714116706
-19850.738432884216,2453.3880318614156
131.4253273010254,2433.1838344105404
124.79383563995361,2413.316207133907
-29803.234393119812,2418.103803970178
-29839.837752342224,2422.8436771903266
106.64093112945557,2403.5500803954983
-29803.234393119812,2408.301074983741
