2024-10-01 08:37:48,066 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Current SDK version is 0.18.2
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Configure stats pid to 8280
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Loading settings from /Users/agam/.config/wandb/settings
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Loading settings from /Users/agam/projects/marl-ecs-course/Midsem/wandb/settings
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Midsem/modified_tsp.py', 'program_abspath': '/Users/agam/projects/marl-ecs-course/Midsem/modified_tsp.py', 'program': '/Users/agam/projects/marl-ecs-course/Midsem/modified_tsp.py'}
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-01 08:37:48,067 INFO    MainThread:8280 [wandb_init.py:_log_setup():532] Logging user logs to /Users/agam/projects/marl-ecs-course/Midsem/wandb/run-20241001_083748-l96c1y3j/logs/debug.log
2024-10-01 08:37:48,068 INFO    MainThread:8280 [wandb_init.py:_log_setup():533] Logging internal logs to /Users/agam/projects/marl-ecs-course/Midsem/wandb/run-20241001_083748-l96c1y3j/logs/debug-internal.log
2024-10-01 08:37:48,068 INFO    MainThread:8280 [wandb_init.py:init():616] calling init triggers
2024-10-01 08:37:48,068 INFO    MainThread:8280 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-10-01 08:37:48,068 INFO    MainThread:8280 [wandb_init.py:init():666] starting backend
2024-10-01 08:37:48,068 INFO    MainThread:8280 [wandb_init.py:init():670] sending inform_init request
2024-10-01 08:37:48,070 INFO    MainThread:8280 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-01 08:37:48,070 INFO    MainThread:8280 [wandb_init.py:init():683] backend started and connected
2024-10-01 08:37:48,075 INFO    MainThread:8280 [wandb_init.py:init():778] updated telemetry
2024-10-01 08:37:48,099 INFO    MainThread:8280 [wandb_init.py:init():811] communicating run to backend with 90.0 second timeout
2024-10-01 08:37:48,575 INFO    MainThread:8280 [wandb_init.py:init():862] starting run threads in backend
2024-10-01 08:37:48,613 INFO    MainThread:8280 [wandb_run.py:_console_start():2464] atexit reg
2024-10-01 08:37:48,613 INFO    MainThread:8280 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-10-01 08:37:48,614 INFO    MainThread:8280 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-10-01 08:37:48,614 INFO    MainThread:8280 [wandb_run.py:_redirect():2402] Redirects installed.
2024-10-01 08:37:48,615 INFO    MainThread:8280 [wandb_init.py:init():906] run started, returning control to user process
2024-10-01 08:38:04,965 WARNING MsgRouterThr:8280 [router.py:message_loop():77] message_loop has been closed
