Episode 7200,  Reward: 213.86, Profit: 249.45, Distance: 61.58 Loss: 0.56
Episode 7300,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.56
Episode 7400,  Reward: 224.93, Profit: 287.35, Distance: 56.72 Loss: 0.86
Episode 7500,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.40
Episode 7600,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.78
Episode 7700,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.70
Episode 7800,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.75
Episode 7900,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.98
Episode 8000,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.89
Episode 8100,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.64
Episode 8200,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.43
Episode 8300,  Reward: 238.70, Profit: 299.41, Distance: 61.64 Loss: 0.82
Episode 8400,  Reward: 309.34, Profit: 340.57, Distance: 45.53 Loss: 0.77
Episode 8500,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.31
Episode 8600,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.21
Episode 8700,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.57
Episode 8800,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.10
Episode 8900,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.57
Episode 9000,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.67
Episode 9100,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.90
Episode 9200,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.37
Episode 9300,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.67
Episode 9400,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.36
Episode 9500,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.17
Episode 9600,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.58
Episode 9700,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.64
Episode 9800,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.63
Episode 9900,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.18
Episode 10000,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.59
Episode 10100,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.25
Episode 10200,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.23
Episode 10300,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.30
Episode 10400,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.40
Episode 10500,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.11
Episode 10600,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.24
Episode 10700,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.46
Episode 10800,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 1.15
Episode 10900,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.68
Episode 11000,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 1.06
Episode 11100,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 1.26
Episode 11200,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.36
Episode 11300,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 1.10
Episode 11400,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.13
Episode 11500,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.53
Episode 11600,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 1.24
Episode 11700,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.66
Episode 11800,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.61
Episode 11900,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 1.43
Episode 12000,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.70
Episode 12100,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 1.36
Episode 12200,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.51
Episode 12300,  Reward: 260.18, Profit: 321.14, Distance: 55.26 Loss: 0.49
Episode 12400,  Reward: 264.17, Profit: 290.32, Distance: 52.14 Loss: 0.41
Episode 12500,  Reward: 264.17, Profit: 290.32, Distance: 52.14 Loss: 1.22
Episode 12600,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.67
Episode 12700,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.66
Episode 12800,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.27
Episode 12900,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.53
Episode 13000,  Reward: 250.20, Profit: 291.98, Distance: 56.96 Loss: 0.68
Episode 13100,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.19
Episode 13200,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.58
Episode 13300,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.22
Episode 13400,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.23
Episode 13500,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.07
Episode 13600,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.60
Episode 13700,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.25
Episode 13800,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.13
Episode 13900,  Reward: 178.32, Profit: 237.13, Distance: 74.00 Loss: 1.10
Episode 14000,  Reward: 211.33, Profit: 261.75, Distance: 65.60 Loss: 1.12
Episode 14100,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.48
Episode 14200,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.49
Episode 14300,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.13
Episode 14400,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.54
Episode 14500,  Reward: 216.84, Profit: 262.16, Distance: 60.51 Loss: 0.64
Episode 14600,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.08
Episode 14700,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.06
Episode 14800,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.02
Episode 14900,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.18
Episode 15000,  Reward: 211.33, Profit: 261.75, Distance: 65.60 Loss: 1.16
Episode 15100,  Reward: 211.33, Profit: 261.75, Distance: 65.60 Loss: 0.41
Episode 15200,  Reward: 139.77, Profit: 216.24, Distance: 81.65 Loss: 0.27
Episode 15300,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.48
Episode 15400,  Reward: 233.46, Profit: 282.81, Distance: 54.53 Loss: 1.33
Episode 15500,  Reward: 179.96, Profit: 246.83, Distance: 72.06 Loss: 1.08
Episode 15600,  Reward: 166.31, Profit: 213.85, Distance: 61.84 Loss: 0.32
Episode 15700,  Reward: 233.46, Profit: 282.81, Distance: 54.53 Loss: 1.31
Episode 15800,  Reward: 235.76, Profit: 275.53, Distance: 54.07 Loss: 0.47
Episode 15900,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 0.97
Episode 16000,  Reward: 236.95, Profit: 295.35, Distance: 63.59 Loss: 0.56
Episode 16100,  Reward: 236.95, Profit: 295.35, Distance: 63.59 Loss: 1.12
Episode 16200,  Reward: 179.96, Profit: 246.83, Distance: 72.06 Loss: 1.10
Episode 16300,  Reward: 179.96, Profit: 246.83, Distance: 72.06 Loss: 0.66
Episode 16400,  Reward: 233.46, Profit: 282.81, Distance: 54.53 Loss: 1.86
Episode 16500,  Reward: 179.96, Profit: 246.83, Distance: 72.06 Loss: 0.55
Episode 16600,  Reward: 179.96, Profit: 246.83, Distance: 72.06 Loss: 1.18
Episode 16700,  Reward: 179.96, Profit: 246.83, Distance: 72.06 Loss: 0.71
Episode 16800,  Reward: 147.50, Profit: 213.16, Distance: 66.59 Loss: 1.03
Episode 16900,  Reward: 140.65, Profit: 206.31, Distance: 66.59 Loss: 0.87
Episode 17000,  Reward: 140.65, Profit: 206.31, Distance: 66.59 Loss: 1.15
Episode 17100,  Reward: 147.50, Profit: 213.16, Distance: 66.59 Loss: 0.79
Episode 17200,  Reward: 67.87, Profit: 156.20, Distance: 89.26 Loss: 1.22
Episode 17300,  Reward: 67.87, Profit: 156.20, Distance: 89.26 Loss: 0.84
Episode 17400,  Reward: 97.20, Profit: 176.46, Distance: 80.19 Loss: 0.57
Episode 17500,  Reward: 97.20, Profit: 176.46, Distance: 80.19 Loss: 0.92
