Episode 7200,  Reward: 192.94, Profit: 240.82, Distance: 62.01 Loss: 0.99
Episode 7300,  Reward: 273.06, Profit: 315.08, Distance: 51.22 Loss: 0.70
Episode 7400,  Reward: 273.06, Profit: 315.08, Distance: 51.22 Loss: 0.74
Episode 7500,  Reward: 273.06, Profit: 315.08, Distance: 51.22 Loss: 1.21
Episode 7600,  Reward: 273.06, Profit: 315.08, Distance: 51.22 Loss: 0.53
Episode 7700,  Reward: 271.12, Profit: 314.00, Distance: 47.82 Loss: 1.21
Episode 7800,  Reward: 246.82, Profit: 304.59, Distance: 57.97 Loss: 3.79
Episode 7900,  Reward: 61.04, Profit: 130.15, Distance: 70.64 Loss: 2.75
Episode 8000,  Reward: 62.30, Profit: 133.80, Distance: 73.36 Loss: 2.62
Episode 8100,  Reward: 169.28, Profit: 195.12, Distance: 58.88 Loss: 1.32
Episode 8200,  Reward: 298.14, Profit: 341.68, Distance: 48.56 Loss: 2.19
Episode 8300,  Reward: 333.76, Profit: 358.90, Distance: 40.17 Loss: 2.70
Episode 8400,  Reward: 246.99, Profit: 304.88, Distance: 62.92 Loss: 2.28
Episode 8500,  Reward: 246.77, Profit: 297.79, Distance: 56.04 Loss: 0.86
Episode 8600,  Reward: 246.77, Profit: 297.79, Distance: 56.04 Loss: 0.75
Episode 8700,  Reward: 258.36, Profit: 278.71, Distance: 49.55 Loss: 1.09
Episode 8800,  Reward: 266.22, Profit: 291.66, Distance: 54.64 Loss: 0.75
Episode 8900,  Reward: 267.96, Profit: 286.36, Distance: 47.60 Loss: 1.00
179.27718309079276
Model saved to model.pth
