Episode 960, Avg Loss: 0.0000, Reward: -124373.74609375
Episode 970, Avg Loss: 0.0000, Reward: -108328.251953125
Episode 980, Avg Loss: 0.0000, Reward: -108510.876953125
Episode 990, Avg Loss: 0.0000, Reward: -117476.546875
Episode 1000, Avg Loss: 0.0000, Reward: -108871.578125
Episode 1000 : -108871.578125
Episode 1010, Avg Loss: 0.0000, Reward: -118142.234375
Episode 1020, Avg Loss: 0.0000, Reward: -109238.474609375
Episode 1030, Avg Loss: 0.0000, Reward: -128394.9140625
Episode 1040, Avg Loss: 0.0000, Reward: -109632.5
Episode 1050, Avg Loss: 0.0000, Reward: -119546.525390625
Episode 1060, Avg Loss: 0.0000, Reward: -120071.994140625
Episode 1070, Avg Loss: 0.0000, Reward: -120427.52734375
Episode 1080, Avg Loss: 0.0000, Reward: -120909.439453125
Episode 1090, Avg Loss: 0.0000, Reward: -110612.64453125
Episode 1100, Avg Loss: 0.0000, Reward: -121532.974609375
Episode 1100 : -121532.974609375
Episode 1110, Avg Loss: 0.0000, Reward: -110952.51953125
Episode 1120, Avg Loss: 0.0000, Reward: -111117.744140625
Episode 1130, Avg Loss: 0.0000, Reward: -111313.49609375
Episode 1140, Avg Loss: 0.0000, Reward: -111524.392578125
Episode 1150, Avg Loss: 0.0000, Reward: -111731.361328125
Episode 1160, Avg Loss: 0.0000, Reward: -111873.767578125
Episode 1170, Avg Loss: 0.0000, Reward: -124156.802734375
Episode 1180, Avg Loss: 0.0000, Reward: -112280.345703125
Episode 1190, Avg Loss: 0.0000, Reward: -137541.685546875
Episode 1200, Avg Loss: 0.0000, Reward: -112671.955078125
Episode 1200 : -112671.955078125
Episode 1210, Avg Loss: 0.0000, Reward: -125703.314453125
Episode 1220, Avg Loss: 0.0000, Reward: -113065.837890625
Episode 1230, Avg Loss: 0.0000, Reward: -113185.638671875
Episode 1240, Avg Loss: 0.0000, Reward: -113370.916015625
Episode 1250, Avg Loss: 0.0000, Reward: -113576.025390625
Episode 1260, Avg Loss: 0.0000, Reward: -113739.27734375
Episode 1270, Avg Loss: 0.0000, Reward: -113923.03125
Episode 1280, Avg Loss: 0.0000, Reward: -114094.5390625
Episode 1290, Avg Loss: 0.0000, Reward: -114224.654296875
Episode 1300, Avg Loss: 0.0000, Reward: -128833.421875
Episode 1300 : -128833.421875
Episode 1310, Avg Loss: 0.0000, Reward: -114597.966796875
Episode 1320, Avg Loss: 0.0000, Reward: -144298.5546875
Episode 1330, Avg Loss: 0.0000, Reward: -114960.888671875
Episode 1340, Avg Loss: 0.0000, Reward: -115170.185546875
Episode 1350, Avg Loss: 0.0000, Reward: -130818.99609375
Episode 1360, Avg Loss: 0.0000, Reward: -131189.48046875
Episode 1370, Avg Loss: 0.0000, Reward: -115801.947265625
Episode 1380, Avg Loss: 0.0000, Reward: -116032.08203125
Episode 1390, Avg Loss: 0.0000, Reward: -116269.412109375
Episode 1400, Avg Loss: 0.0000, Reward: -116434.115234375
Episode 1400 : -116434.115234375
Episode 1410, Avg Loss: 0.0000, Reward: -116580.009765625
Episode 1420, Avg Loss: 0.0000, Reward: -116769.927734375
Episode 1430, Avg Loss: 0.0000, Reward: -116986.501953125
Episode 1440, Avg Loss: 0.0000, Reward: -134363.498046875
Episode 1450, Avg Loss: 0.0000, Reward: -117296.3828125
Episode 1460, Avg Loss: 0.0000, Reward: -117481.234375
Episode 1470, Avg Loss: 0.0000, Reward: -117658.5
Episode 1480, Avg Loss: 0.0000, Reward: -117840.18359375
Episode 1490, Avg Loss: 0.0000, Reward: -136063.939453125
Episode 1500, Avg Loss: 0.0000, Reward: -118161.92578125
Episode 1500 : -118161.92578125
Episode 1510, Avg Loss: 0.0000, Reward: -118369.4921875
Episode 1520, Avg Loss: 0.0000, Reward: -118534.046875
Episode 1530, Avg Loss: 0.0000, Reward: -118762.193359375
Episode 1540, Avg Loss: 0.0000, Reward: -118948.833984375
Episode 1550, Avg Loss: 0.0000, Reward: -119088.783203125
Episode 1560, Avg Loss: 0.0000, Reward: -138539.44921875
Episode 1570, Avg Loss: 0.0000, Reward: -119600.2421875
Episode 1580, Avg Loss: 0.0000, Reward: -119791.021484375
Episode 1590, Avg Loss: 0.0000, Reward: -120081.55078125
Episode 1600, Avg Loss: 0.0000, Reward: -140500.609375
Episode 1600 : -140500.609375
Episode 1610, Avg Loss: 0.0000, Reward: -120393.015625
Episode 1620, Avg Loss: 0.0000, Reward: -141280.185546875
Episode 1630, Avg Loss: 0.0000, Reward: -141569.67578125
Episode 1640, Avg Loss: 0.0000, Reward: -120975.8984375
Episode 1650, Avg Loss: 0.0000, Reward: -121173.9375
Episode 1660, Avg Loss: 0.0000, Reward: -121355.54296875
Episode 1670, Avg Loss: 0.0000, Reward: -121587.34765625
Episode 1680, Avg Loss: 0.0000, Reward: -121717.556640625
Episode 1690, Avg Loss: 0.0000, Reward: -143892.85546875
Episode 1700, Avg Loss: 0.0000, Reward: -144204.669921875
Episode 1700 : -144204.669921875
Episode 1710, Avg Loss: 0.0000, Reward: -144611.224609375
Episode 1720, Avg Loss: 0.0000, Reward: -145029.314453125
Episode 1730, Avg Loss: 0.0000, Reward: -122663.103515625
Episode 1740, Avg Loss: 0.0000, Reward: -122850.84375
Episode 1750, Avg Loss: 0.0000, Reward: -146038.26171875
Episode 1760, Avg Loss: 0.0000, Reward: -146396.49609375
Episode 1770, Avg Loss: 0.0000, Reward: -123368.0390625
Episode 1780, Avg Loss: 0.0000, Reward: -147078.53515625
Episode 1790, Avg Loss: 0.0000, Reward: -123652.76171875
Episode 1800, Avg Loss: 0.0000, Reward: -123807.3828125
Episode 1800 : -123807.3828125
Episode 1810, Avg Loss: 0.0000, Reward: -123968.46875
Episode 1820, Avg Loss: 0.0000, Reward: -124202.75390625
Episode 1830, Avg Loss: 0.0000, Reward: -148888.06640625
Episode 1840, Avg Loss: 0.0000, Reward: -149273.8671875
Episode 1850, Avg Loss: 0.0000, Reward: -149786.8671875
Episode 1860, Avg Loss: 0.0000, Reward: -150109.06640625
Episode 1870, Avg Loss: 0.0000, Reward: -125243.65234375
Episode 1880, Avg Loss: 0.0000, Reward: -125407.23046875
Episode 1890, Avg Loss: 0.0000, Reward: -125606.33984375
Episode 1900, Avg Loss: 0.0000, Reward: -151631.0078125
Episode 1900 : -151631.0078125
Episode 1910, Avg Loss: 0.0000, Reward: -125961.32421875
Episode 1920, Avg Loss: 0.0000, Reward: -126167.48828125
Episode 1930, Avg Loss: 0.0000, Reward: -152642.51171875
Episode 1940, Avg Loss: 0.0000, Reward: -126526.93359375
Episode 1950, Avg Loss: 0.0000, Reward: -126733.76171875
Episode 1960, Avg Loss: 0.0000, Reward: -126882.41796875
Episode 1970, Avg Loss: 0.0000, Reward: -154262.4921875
Episode 1980, Avg Loss: 0.0000, Reward: -154558.08984375
Episode 1990, Avg Loss: 0.0000, Reward: -127475.78515625
Episode 2000, Avg Loss: 0.0000, Reward: -155475.58203125
Episode 2000 : -155475.58203125
Episode 2010, Avg Loss: 0.0000, Reward: -155981.71875
Episode 2020, Avg Loss: 0.0000, Reward: -156431.59765625
Episode 2030, Avg Loss: 0.0000, Reward: -128367.49609375
Episode 2040, Avg Loss: 0.0000, Reward: -128541.19140625
Episode 2050, Avg Loss: 0.0000, Reward: -157568.125
Episode 2060, Avg Loss: 0.0000, Reward: -128873.66796875
Episode 2070, Avg Loss: 0.0000, Reward: -187264.0703125
Episode 2080, Avg Loss: 0.0000, Reward: -129224.4375
Episode 2090, Avg Loss: 0.0000, Reward: -129496.27734375
Episode 2100, Avg Loss: 0.0000, Reward: -189018.77734375
Episode 2100 : -189018.77734375
Episode 2110, Avg Loss: 0.0000, Reward: -129867.015625
Episode 2120, Avg Loss: 0.0000, Reward: -130017.2421875
Episode 2130, Avg Loss: 0.0000, Reward: -130147.78125
Episode 2140, Avg Loss: 0.0000, Reward: -160725.30078125
Episode 2150, Avg Loss: 0.0000, Reward: -130584.5859375
Episode 2160, Avg Loss: 0.0000, Reward: -130747.2734375
Episode 2170, Avg Loss: 0.0000, Reward: -130947.33984375
Episode 2180, Avg Loss: 0.0000, Reward: -131075.31640625
Episode 2190, Avg Loss: 0.0000, Reward: -162488.68359375
Episode 2200, Avg Loss: 0.0000, Reward: -131403.53515625
Episode 2200 : -131403.53515625
Episode 2210, Avg Loss: 0.0000, Reward: -131594.93359375
Episode 2220, Avg Loss: 0.0000, Reward: -131755.234375
Episode 2230, Avg Loss: 0.0000, Reward: -131922.2578125
Episode 2240, Avg Loss: 0.0000, Reward: -164215.70703125
Episode 2250, Avg Loss: 0.0000, Reward: -132221.4296875
Episode 2260, Avg Loss: 0.0000, Reward: -132350.984375
Episode 2270, Avg Loss: 0.0000, Reward: -132565.35546875
Episode 2280, Avg Loss: 0.0000, Reward: -132718.5234375
Episode 2290, Avg Loss: 0.0000, Reward: -132906.0390625
Episode 2300, Avg Loss: 0.0000, Reward: -133114.73046875
Episode 2300 : -133114.73046875
Episode 2310, Avg Loss: 0.0000, Reward: -133287.7265625
Episode 2320, Avg Loss: 0.0000, Reward: -133460.89453125
Episode 2330, Avg Loss: 0.0000, Reward: -167180.703125
Episode 2340, Avg Loss: 0.0000, Reward: -133766.91796875
Episode 2350, Avg Loss: 0.0000, Reward: -133931.62890625
Episode 2360, Avg Loss: 0.0000, Reward: -168206.5078125
Episode 2370, Avg Loss: 0.0000, Reward: -202978.29296875
Episode 2380, Avg Loss: 0.0000, Reward: -169056.3046875
Episode 2390, Avg Loss: 0.0000, Reward: -169376.55078125
Episode 2400, Avg Loss: 0.0000, Reward: -169795.13671875
Episode 2400 : -169795.13671875
Episode 2410, Avg Loss: 0.0000, Reward: -205080.59765625
Episode 2420, Avg Loss: 0.0000, Reward: -135238.81640625
Episode 2430, Avg Loss: 0.0000, Reward: -135410.06640625
Episode 2440, Avg Loss: 0.0000, Reward: -171202.14453125
Episode 2450, Avg Loss: 0.0000, Reward: -135803.359375
Episode 2460, Avg Loss: 0.0000, Reward: -136005.5234375
