Episode 7200,  Reward: 285.90, Profit: 319.89, Distance: 43.22 Loss: 1.08
Episode 7300,  Reward: 290.85, Profit: 319.95, Distance: 46.34 Loss: 0.78
Episode 7400,  Reward: 290.85, Profit: 319.95, Distance: 46.34 Loss: 2.01
Episode 7500,  Reward: 285.90, Profit: 319.89, Distance: 43.22 Loss: 0.94
Episode 7600,  Reward: 285.92, Profit: 323.98, Distance: 44.08 Loss: 3.48
Episode 7700,  Reward: 167.50, Profit: 187.90, Distance: 51.82 Loss: 13.43
Episode 7800,  Reward: 234.60, Profit: 251.80, Distance: 48.63 Loss: 31.17
Episode 7900,  Reward: 179.97, Profit: 196.77, Distance: 53.93 Loss: 36.46
Episode 8000,  Reward: 300.82, Profit: 307.66, Distance: 43.96 Loss: 61.67
Episode 8100,  Reward: 303.42, Profit: 311.80, Distance: 43.27 Loss: 76.69
Episode 8200,  Reward: 279.35, Profit: 294.52, Distance: 46.60 Loss: 166.56
Episode 8300,  Reward: 149.42, Profit: 176.73, Distance: 58.74 Loss: 284.32
Episode 8400,  Reward: 155.01, Profit: 177.83, Distance: 54.26 Loss: 374.11
Episode 8500,  Reward: 143.80, Profit: 169.07, Distance: 56.69 Loss: 417.50
Episode 8600,  Reward: 162.11, Profit: 149.87, Distance: 59.18 Loss: 455.05
Episode 8700,  Reward: 74.90, Profit: 107.88, Distance: 64.40 Loss: 367.43
Episode 8800,  Reward: 77.37, Profit: 60.72, Distance: 65.60 Loss: 409.14
Episode 8900,  Reward: 185.47, Profit: 214.47, Distance: 58.87 Loss: 291.28
Episode 9000,  Reward: 228.25, Profit: 248.10, Distance: 49.72 Loss: 270.56
Episode 9100,  Reward: 291.45, Profit: 301.15, Distance: 44.59 Loss: 263.28
Episode 9200,  Reward: 217.65, Profit: 253.49, Distance: 59.90 Loss: 178.41
Episode 9300,  Reward: 137.71, Profit: 170.90, Distance: 64.62 Loss: 165.05
Episode 9400,  Reward: 10.03, Profit: 61.44, Distance: 73.61 Loss: 272.50
Episode 9500,  Reward: 62.52, Profit: 99.67, Distance: 68.09 Loss: 154.99
Episode 9600,  Reward: 145.60, Profit: 171.36, Distance: 60.64 Loss: 142.61
Episode 9700,  Reward: 192.44, Profit: 218.84, Distance: 61.28 Loss: 99.65
Episode 9800,  Reward: 192.44, Profit: 218.84, Distance: 61.28 Loss: 57.39
Episode 9900,  Reward: 81.61, Profit: 118.76, Distance: 68.59 Loss: 66.43
246.97731446496843
Model saved to model.pth
