Episode 7600, Avg Loss: 153456.4340, Reward: -355473.625, exploration: 0.0254
Episode 7700, Avg Loss: 139420.5492, Reward: -100000.0, exploration: 0.0247
Episode 7800, Avg Loss: 120399.0984, Reward: -358311.03125, exploration: 0.0240
Episode 7900, Avg Loss: 117175.8367, Reward: -100000.0, exploration: 0.0233
Episode 8000, Avg Loss: 103472.1443, Reward: -622526.09375, exploration: 0.0226
Episode 8100, Avg Loss: 124301.1602, Reward: -363386.84375, exploration: 0.0220
Episode 8200, Avg Loss: 91825.8973, Reward: -365331.0625, exploration: 0.0214
Episode 8300, Avg Loss: 57325.8023, Reward: -100000.0, exploration: 0.0209
Episode 8400, Avg Loss: 80965.8270, Reward: -100000.0, exploration: 0.0203
Episode 8500, Avg Loss: 54438.6973, Reward: -370445.9375, exploration: 0.0198
Episode 8600, Avg Loss: 104110.2752, Reward: -371867.59375, exploration: 0.0194
Episode 8700, Avg Loss: 91151.6729, Reward: -373959.75, exploration: 0.0189
Episode 8800, Avg Loss: 74236.7564, Reward: -651874.40625, exploration: 0.0185
Episode 8900, Avg Loss: 112191.4354, Reward: -100000.0, exploration: 0.0181
Episode 9000, Avg Loss: 111662.0344, Reward: -100000.0, exploration: 0.0177
Episode 9100, Avg Loss: 68649.2404, Reward: -381036.625, exploration: 0.0173
Episode 9200, Avg Loss: 98745.6535, Reward: -100000.0, exploration: 0.0169
Episode 9300, Avg Loss: 108986.3879, Reward: -100000.0, exploration: 0.0166
Episode 9400, Avg Loss: 62797.2980, Reward: -673044.09375, exploration: 0.0163
Episode 9500, Avg Loss: 97426.4344, Reward: -389157.875, exploration: 0.0160
Episode 9600, Avg Loss: 84813.2400, Reward: -391358.875, exploration: 0.0157
Episode 9700, Avg Loss: 76122.2781, Reward: -393085.71875, exploration: 0.0154
Episode 9800, Avg Loss: 100184.2818, Reward: -394719.375, exploration: 0.0151
Episode 9900, Avg Loss: 57486.8797, Reward: -396837.71875, exploration: 0.0149
Episode 10000, Avg Loss: 106333.6195, Reward: -100000.0, exploration: 0.0146
Episode 10100, Avg Loss: 66830.4695, Reward: -400502.59375, exploration: 0.0144
Episode 10200, Avg Loss: 114700.3676, Reward: -100000.0, exploration: 0.0142
Episode 10300, Avg Loss: 134205.2090, Reward: -100000.0, exploration: 0.0140
Episode 10400, Avg Loss: 44364.3717, Reward: -100000.0, exploration: 0.0138
Episode 10500, Avg Loss: 42459.3570, Reward: -406784.5, exploration: 0.0136
Episode 10600, Avg Loss: 53913.5199, Reward: -408768.78125, exploration: 0.0134
Episode 10700, Avg Loss: 51042.6156, Reward: -100000.0, exploration: 0.0133
Episode 10800, Avg Loss: 39759.5793, Reward: -413518.40625, exploration: 0.0131
Episode 10900, Avg Loss: 61290.1410, Reward: -731850.25, exploration: 0.0130
Episode 11000, Avg Loss: 41082.1703, Reward: -100000.0, exploration: 0.0128
Episode 11100, Avg Loss: 33593.8361, Reward: -100000.0, exploration: 0.0127
Episode 11200, Avg Loss: 35439.7406, Reward: -100000.0, exploration: 0.0126
Episode 11300, Avg Loss: 30828.2797, Reward: -421670.84375, exploration: 0.0124
Episode 11400, Avg Loss: 35124.8273, Reward: -100000.0, exploration: 0.0123
Episode 11500, Avg Loss: 43113.7820, Reward: -425211.0, exploration: 0.0122
Episode 11600, Avg Loss: 40960.3057, Reward: -100000.0, exploration: 0.0121
Episode 11700, Avg Loss: 35207.1105, Reward: -428152.59375, exploration: 0.0120
Episode 11800, Avg Loss: 29089.4359, Reward: -100000.0, exploration: 0.0119
Episode 11900, Avg Loss: 45104.4418, Reward: -431451.21875, exploration: 0.0118
Episode 12000, Avg Loss: 32524.4130, Reward: -100000.0, exploration: 0.0117
Episode 12100, Avg Loss: 37479.6189, Reward: -100000.0, exploration: 0.0116
Episode 12200, Avg Loss: 27971.9679, Reward: -434930.1875, exploration: 0.0115
Episode 12300, Avg Loss: 36006.7586, Reward: -100000.0, exploration: 0.0115
